alli_q,answer_20
Am I a bad communicator?,"Reply hazy, try again"
Am I a bad dancer?,Ask again later
Am I a bad listener?,Better not tell you now
Am I a good person?,Cannot predict now
Am I allergic to peanuts?,"Reply hazy, try again"
Am I bad at reading the room?,Concentrate and ask again
Am I conflict avoidant?,Ask again later
Am I dumb?,Cannot predict now
Am I emotionally intelligent?,Better not tell you now
Am I going to get a job interview next week?,Concentrate and ask again
Am I good at creative problem solving?,"Reply hazy, try again"
Am I good leader?,Ask again later
Am I passive aggressive?,Better not tell you now
Am I self aware enough?,Cannot predict now
Am I self obsessed?,Concentrate and ask again
Am I too conflict avoidant?,"Reply hazy, try again"
Are cats better than dogs?,Better not tell you now
Are dogs better than cats?,Better not tell you now
Are ghosts real?,Better not tell you now
Are our neighbors FBI operatives?,Better not tell you now
Are we going to break up soon?,Ask again later
Can I convince Marco to talk to his dad?,Concentrate and ask again
Can I refinish that dresser on my own?,"Reply hazy, try again"
Can I stay in my band after the baby is born?,Ask again later
Can I stop being so annoying if I speak less?,Better not tell you now
Can I trust you?,Better not tell you now
Did I do the right thing?,"Reply hazy, try again"
Did I help?,"Reply hazy, try again"
Did I hurt them?,Cannot predict now
Did my boyfriend cheat on me?,Ask again later
Did my girlfriend have an emotional affair?,Ask again later
Do I have anxious attachment style?,"Reply hazy, try again"
Do I have bad taste in music?,Better not tell you now
Do I need a makeover?,Cannot predict now
Do I need a new hobby?,"Reply hazy, try again"
Do I need a new security service?,Cannot predict now
Do I need more adventure in my life?,Cannot predict now
Do I need more marketable skills?,Concentrate and ask again
Do I need new clothes?,Ask again later
Do I need public speaking classes?,Better not tell you now
Do I need to become better at aruging?,Better not tell you now
Do I need to buy a new laptop this year?,Ask again later
Do I need to go back to school in order to earn more money?,Concentrate and ask again
Do I need to take a class on improving my emotional intelligence?,"Reply hazy, try again"
Do I need to throw up?,Cannot predict now
Do I need to work on becoming a better communicator?,"Reply hazy, try again"
Do people really hate puns?,Better not tell you now
Do people stay friends with people they meet at camp?,Ask again later
Do the other people in my book club think I'm dumb?,Cannot predict now
Does Jenna hate me?,Ask again later
Does Penny have a crush on me?,"Reply hazy, try again"
Is a MBA really worth it these days?,"Reply hazy, try again"
Is a new opportunity coming my way?,Concentrate and ask again
Is AI going to wipe out my career?,"Reply hazy, try again"
Is Dino going to ask me to prom?,Ask again later
Is it a good time for international travel?,"Reply hazy, try again"
Is it a good time to explore opportunities for freelance work?,Concentrate and ask again
Is it a good time to explore opportunities for mentorship?,Concentrate and ask again
Is it a good time to explore opportunities for online education?,Concentrate and ask again
Is it a good time to explore opportunities for online learning?,Concentrate and ask again
Is it a good time to explore opportunities for public speaking?,Better not tell you now
Is it a good time to invest in stocks?,"Reply hazy, try again"
Is it a good time to plan a family gathering?,Better not tell you now
Is it a good time to pursue a passion project?,"Reply hazy, try again"
Is it a good time to start a family?,Ask again later
Is it a good time to start a new business?,"Reply hazy, try again"
